i,epoch=0,epoch=1,epoch=2,epoch=3,epoch=4,epoch=5,epoch=6,epoch=7,epoch=8,epoch=9,epoch=10
1,0.0907,0.0891,0.0907,0.9319,0.0969,0.0983,0.101,0.1026,0.1091,0.109,0.1091
2,0.1059,0.104,0.1059,0.1087,0.1131,0.1148,0.1189,0.1268,0.1274,0.1274,0.1283
3,0.1099,0.1079,0.1099,0.1129,0.1174,0.1192,0.1234,0.1316,0.1323,0.1323,0.1332
4,0.1138,0.1177,0.1138,0.1169,0.1215,0.1233,0.1277,0.1362,0.1369,0.1369,0.1378
5,0.1152,0.1131,0.1153,0.1183,0.1231,0.1249,0.1293,0.1379,0.1386,0.1386,0.1396
6,0.1155,0.1134,0.1154,0.1186,0.1233,0.1252,0.1296,0.1382,0.1389,0.1389,0.1399
7,0.116,0.1138,0.1159,0.1191,0.1239,0.1257,0.1302,0.1388,0.1395,0.1395,0.1405
8,0.1162,0.114,0.1161,0.1193,0.1243,0.1259,0.1304,0.139,0.139,0.1397,0.1407
9,0.1163,0.1141,0.1162,0.1194,0.1242,0.126,0.1305,0.1391,0.1399,0.1399,0.1408
10,0.1263,0.1239,0.1262,0.1296,0.1348,0.1368,0.1417,0.1511,0.1519,0.1521,0.1529
